nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2
13, 3, 101, 156, 2.0, 31.0, 39.0, true, true, true, 303.0, 476.0, 468.0, 750.0, 5, 1, 6
13, 3, 369, 393, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 6
13, 3, 98, 153, 20.0, 62.0, 154.0, true, true, true, 294.0, 475.0, 459.0, 749.0, 7, 1, 2
13, 3, 115, 149, 19.999999999999986, 68.0, 907.0, true, true, true, 345.0, 540.0, 447.0, 709.0, 2, 4, 2
13, 3, 88, 136, 10.0, 24.0, 54.0, true, true, true, 264.0, 415.0, 408.0, 654.0, 6, 1, 4
13, 3, 313, 350, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 2, 6
13, 3, 104, 167, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 5
13, 3, 289, 327, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 5, 2
13, 3, 202, 211, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 5, 5
13, 3, 95, 152, 2.0, 26.0, 34.0, true, true, true, 285.0, 452.0, 456.0, 736.0, 6, 1, 7
13, 3, 197, 288, 5.0, 61.0, 72.0, true, true, true, 591.0, 940.0, 864.0, 1394.0, 7, 1, 5
13, 3, 215, 221, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 7, 3
13, 3, 62, 113, 19.0, 21.0, 685.0, true, true, true, 186.0, 305.0, 339.0, 559.0, 1, 1, 4
13, 3, 288, 302, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 7, 3
13, 3, 311, 314, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 4
13, 3, 332, 353, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4, 6
13, 3, 108, 162, 11.0, 48.0, 113.0, true, true, true, 324.0, 525.0, 486.0, 794.0, 2, 1, 4
13, 3, 151, 194, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 7
13, 3, 108, 139, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 7, 1
13, 3, 100, 115, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 4
13, 3, 168, 189, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3, 2
13, 3, 369, 393, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 6, 4
13, 3, 391, 415, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 7, 7
13, 3, 201, 222, 6.0, 10407.0, 2758.0, false, false, true, 603.0, 934.0, 666.0, 1038.0, 3, 4, 3
13, 3, 219, 224, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 2, 5
13, 3, 93, 112, 10.0, 37.0, 27.0, true, true, true, 279.0, 432.0, 336.0, 526.0, 6, 2, 4
13, 3, 104, 136, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3, 3
13, 3, 228, 241, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 5
13, 3, 74, 101, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 5, 4
13, 3, 285, 294, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4, 7
13, 3, 333, 341, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 5
13, 3, 285, 294, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 4, 6
13, 3, 128, 211, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 6, 2
13, 3, 119, 141, 10.0, 76.0, 48.0, true, true, true, 357.0, 556.0, 423.0, 665.0, 4, 3, 2
13, 3, 263, 269, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4, 4
