nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1, weight2, weight3, weight4
13, 5, 616, 635, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 7, 4, 3, 6
13, 5, 205, 224, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 2, 3, 7, 4
13, 5, 284, 347, 4.0, 381.0, 209.0, true, true, true, 852.0, 1325.0, 1041.0, 1639.0, 7, 2, 7, 2, 1
13, 5, 580, 593, 2.0, 63.0, 55.0, true, true, true, 1740.0, 2773.0, 1779.0, 2837.0, 5, 1, 3, 3, 2
13, 5, 67, 119, 6.0, 10.0, 45.0, true, true, true, 201.0, 318.0, 357.0, 577.0, 3, 5, 2, 2, 1
13, 5, 236, 290, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 6, 2, 3, 4
13, 5, 467, 568, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 3, 4, 1, 3
13, 5, 192, 249, 2.0, 36.0, 48.0, true, true, true, 576.0, 905.0, 747.0, 1189.0, 5, 1, 3, 2, 6
13, 5, 347, 467, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 2, 1, 6, 4
13, 5, 257, 337, 2.0, 99.0, 1123.0, true, true, true, 771.0, 1208.0, 1011.0, 1607.0, 7, 6, 1, 6, 2
13, 5, 402, 483, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4, 5, 1, 7
13, 5, 303, 313, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 2, 3, 7, 6
13, 5, 246, 295, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 3, 1, 2, 7
13, 5, 402, 432, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 7, 1, 6, 5
13, 5, 394, 442, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2, 6, 5, 6
13, 5, 283, 301, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 4, 3, 7, 6
13, 5, 144, 186, 8.0, 50.0, 461.0, true, true, true, 432.0, 669.0, 558.0, 878.0, 6, 3, 3, 3, 1
13, 5, 58, 97, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 1, 4, 1, 2
13, 5, 394, 459, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 3, 2, 7, 5
13, 5, 455, 476, 2.0, 63.0, 57.0, true, true, true, 1365.0, 2188.0, 1428.0, 2292.0, 7, 4, 7, 3, 4
13, 5, 81, 117, 12.0, 52.0, 341.0, true, true, true, 243.0, 374.0, 351.0, 553.0, 5, 1, 2, 1, 4
13, 5, 225, 258, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 5, 2, 2, 3
13, 5, 353, 394, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3, 4, 4, 3
13, 5, 411, 429, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 6, 7, 7, 4
13, 5, 341, 362, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 3, 7, 5
13, 5, 152, 184, 2.0, 30.0, 37.0, true, true, true, 456.0, 717.0, 552.0, 876.0, 2, 5, 1, 1, 2
13, 5, 12, 74, 6.0, 3.0, 25.0, true, true, true, 36.0, 69.0, 222.0, 378.0, 6, 5, 7, 5, 2
13, 5, 377, 423, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 7, 6, 1
13, 5, 201, 252, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 3, 7, 2, 7
13, 5, 242, 260, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4, 2, 4, 6
13, 5, 442, 602, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 1, 4, 6, 7
13, 5, 537, 617, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 4, 6, 7, 3
13, 5, 107, 131, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2, 1, 6, 3
13, 5, 252, 278, 2.0, 53.0, 273.0, true, true, true, 756.0, 1151.0, 834.0, 1280.0, 2, 7, 2, 5, 1
13, 5, 442, 458, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 7, 6, 2, 6, 1
13, 5, 229, 273, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4, 4, 7, 1
13, 5, 462, 562, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 5, 6, 3, 4
13, 5, 442, 517, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 7, 7, 7, 5
13, 5, 360, 388, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 6, 1, 3, 7, 5
13, 5, 15, 87, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 7, 4, 4, 6
13, 5, 251, 331, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 5, 1, 2, 5, 7
13, 5, 185, 207, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 6, 3, 5
13, 5, 339, 363, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 7, 2, 7
13, 5, 304, 399, 2.0, 148.0, 1102.0, true, true, true, 912.0, 1429.0, 1197.0, 1903.0, 5, 3, 1, 3, 2
13, 5, 394, 442, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 5, 4, 7, 4
13, 5, 226, 263, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 6, 5, 1, 7
13, 5, 430, 498, 2.0, 214.0, 1721.0, true, true, true, 1290.0, 2047.0, 1494.0, 2386.0, 5, 3, 3, 4, 2
13, 5, 221, 283, 3.0, 80.0, 151.0, true, true, true, 663.0, 1026.0, 849.0, 1335.0, 7, 1, 6, 1, 2
13, 5, 148, 161, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 6, 6, 2, 6
13, 5, 103, 134, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4, 3, 5, 1
