nbPlayer, nbType, timeCreateADD, timeCreateDAG, nbNodeADD, nbNodeDAG, timeSolveDAG, emptyCore, cosDAG
24, 5, 10.0, 0.0, 7061.0, 7173.0, 178.0, false, 0.0
24, 5, 9.0, 0.0, 3022.0, 3404.0, 42.0, false, 0.0
24, 5, 1.0, 0.0, 703.0, 834.0, 5.0, true, 30.0
24, 5, 3.0, 0.0, 2150.0, 2645.0, 31.0, true, 10.0
24, 5, 12.0, 0.0, 3037.0, 3059.0, 33.0, false, 0.0
24, 5, 13.0, 1.0, 6712.0, 7048.0, 166.0, false, 0.0
24, 5, 7.0, 1.0, 4964.0, 5160.0, 150.0, true, 4.0
24, 5, 7.0, 0.0, 3123.0, 3516.0, 63.0, true, 4.0
24, 5, 23.0, 0.0, 3701.0, 3740.0, 57.0, false, 0.0
24, 5, 29.0, 1.0, 3627.0, 3788.0, 52.0, false, 0.0
24, 5, 104.0, 0.0, 5618.0, 5647.0, 65.0, false, 0.0
24, 5, 218.0, 0.0, 3742.0, 3776.0, 78.0, false, 0.0
24, 5, 62.0, 0.0, 4329.0, 4456.0, 49.0, true, 2.0
24, 5, 45.0, 1.0, 4167.0, 4187.0, 52.0, false, 0.0
24, 5, 28.0, 1.0, 6973.0, 7043.0, 193.0, false, 0.0
24, 5, 6.0, 0.0, 2260.0, 2291.0, 27.0, false, 0.0
24, 5, 9.0, 0.0, 4965.0, 5687.0, 50.0, true, 2.0
24, 5, 178.0, 0.0, 5933.0, 5968.0, 99.0, false, 0.0
24, 5, 89.0, 1.0, 5316.0, 5844.0, 67.0, false, 0.0
24, 5, 37.0, 0.0, 3112.0, 3249.0, 49.0, true, 18.0
24, 5, 4.0, 0.0, 3247.0, 3574.0, 43.0, true, 6.0
24, 5, 4.0, 0.0, 1313.0, 1497.0, 9.0, false, 0.0
24, 5, 65.0, 0.0, 3313.0, 3435.0, 76.0, false, 0.0
24, 5, 63.0, 0.0, 874.0, 1010.0, 6.0, true, 24.0
24, 5, 3.0, 1.0, 1687.0, 1893.0, 18.0, false, 0.0
24, 5, 7.0, 0.0, 4217.0, 4357.0, 53.0, false, 0.0
24, 5, 31.0, 0.0, 3519.0, 3552.0, 59.0, false, 0.0
24, 5, 15.0, 1.0, 4010.0, 4100.0, 59.0, false, 0.0
24, 5, 6.0, 0.0, 3750.0, 4590.0, 63.0, false, 0.0
24, 5, 25.0, 0.0, 2247.0, 2353.0, 25.0, true, 4.0
24, 5, 9404.0, 0.0, 8.0, 30.0, 0.0, true, 2.0
24, 5, 13.0, 0.0, 6172.0, 7012.0, 94.0, false, 0.0
24, 5, 9.0, 1.0, 2562.0, 2581.0, 23.0, false, 0.0
24, 5, 45.0, 0.0, 1796.0, 1825.0, 12.0, false, 0.0
24, 5, 24.0, 0.0, 2793.0, 3243.0, 19.0, false, 0.0
24, 5, 77.0, 0.0, 5267.0, 5322.0, 90.0, false, 0.0
24, 5, 46.0, 0.0, 3225.0, 3272.0, 42.0, false, 0.0
